model_2008,displ_2008,cyl_2008,trans_2008,drive_2008,fuel_2008,veh_class_2008,air_pollut_2008,city_mpg_2008,hwy_mpg_2008,cmb_mpg_2008,greenhouse_2008,smartway_2008,model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
LAMBORGHINI Gallardo Spyder,5.0,10,Man-6,4WD,Gasoline,small car,6.0,10.0,15.0,12.0,0,no,MASERATI Quattroporte S,3.0,6.0,Auto-8,2WD,Gasoline,large car,1.0,16.0,23.0,18.0,3.0,No
LAMBORGHINI Gallardo Spyder,5.0,10,Auto-S6,4WD,Gasoline,small car,6.0,10.0,16.0,12.0,0,no,MASERATI Quattroporte S Q4,3.0,6.0,Auto-8,4WD,Gasoline,large car,1.0,16.0,23.0,18.0,3.0,No
LAMBORGHINI Murcielago,6.5,12,Man-6,4WD,Gasoline,small car,6.0,8.0,13.0,10.0,0,no,MAZDA 3,2.0,4.0,Man-6,2WD,Gasoline,midsize car,7.0,27.0,37.0,31.0,7.0,Yes
LAMBORGHINI Murcielago,6.5,12,Auto-S6,4WD,Gasoline,small car,6.0,9.0,14.0,11.0,0,no,MAZDA 3,2.0,4.0,Man-6,2WD,Gasoline,small car,7.0,28.0,38.0,31.0,7.0,Yes
LAMBORGHINI Murcielago Reventon,6.5,12,Auto-S6,4WD,Gasoline,small car,6.0,9.0,14.0,11.0,0,no,MAZDA 3,2.0,4.0,SemiAuto-6,2WD,Gasoline,midsize car,7.0,28.0,37.0,32.0,7.0,Yes
LAMBORGHINI Murcielago Roadster,6.5,12,Man-6,4WD,Gasoline,small car,6.0,8.0,13.0,10.0,0,no,MAZDA 3,2.0,4.0,SemiAuto-6,2WD,Gasoline,small car,7.0,28.0,37.0,31.0,7.0,Yes
LAMBORGHINI Murcielago Roadster,6.5,12,Auto-S6,4WD,Gasoline,small car,6.0,9.0,14.0,11.0,0,no,MAZDA 3,2.5,4.0,SemiAuto-6,2WD,Gasoline,midsize car,7.0,26.0,35.0,30.0,7.0,Yes
LAND ROVER LR2,3.2,6,Auto-S6,4WD,Gasoline,SUV,7.0,16.0,23.0,18.0,5,no,MAZDA 3,2.5,4.0,SemiAuto-6,2WD,Gasoline,small car,7.0,27.0,36.0,30.0,7.0,Yes
LAND ROVER LR3,4.4,8,Auto-S6,4WD,Gasoline,SUV,7.0,12.0,17.0,14.0,2,no,MAZDA CX-3,2.0,4.0,SemiAuto-6,2WD,Gasoline,small car,3.0,29.0,34.0,31.0,7.0,Yes
LAND ROVER Range Rover,4.2,8,Auto-S6,4WD,Gasoline,SUV,6.0,12.0,18.0,14.0,2,no,MAZDA CX-3,2.0,4.0,SemiAuto-6,4WD,Gasoline,small car,3.0,27.0,32.0,29.0,6.0,No
LAND ROVER Range Rover,4.4,8,Auto-S6,4WD,Gasoline,SUV,6.0,12.0,18.0,14.0,2,no,MAZDA CX-9,2.5,4.0,SemiAuto-6,2WD,Gasoline,small SUV,3.0,22.0,28.0,24.0,5.0,No
LAND ROVER Range Rover Sport,4.4,8,Auto-S6,4WD,Gasoline,SUV,7.0,12.0,18.0,15.0,3,no,MAZDA CX-9,2.5,4.0,SemiAuto-6,4WD,Gasoline,small SUV,3.0,20.0,26.0,23.0,5.0,No
LAND ROVER Range Rover Sport,4.2,8,Auto-S6,4WD,Gasoline,SUV,6.0,12.0,18.0,14.0,2,no,MERCEDES-BENZ AMG C63,4.0,8.0,Auto-7,2WD,Gasoline,small car,5.0,17.0,22.0,19.0,3.0,No
LEXUS ES 350,3.5,6,Auto-S6,2WD,Gasoline,midsize car,7.0,19.0,27.0,22.0,6,yes,MERCEDES-BENZ AMG C63,4.0,8.0,Auto-7,2WD,Gasoline,small car,5.0,17.0,23.0,19.0,3.0,No
LEXUS GS 350,3.5,6,Auto-S6,4WD,Gasoline,midsize car,7.0,18.0,25.0,20.0,6,yes,MERCEDES-BENZ AMG C63,4.0,8.0,Auto-7,2WD,Gasoline,small car,5.0,18.0,24.0,20.0,4.0,No
LEXUS GS 350,3.5,6,Auto-S6,2WD,Gasoline,midsize car,7.0,19.0,27.0,22.0,6,yes,MERCEDES-BENZ AMG C63 S,4.0,8.0,Auto-7,2WD,Gasoline,small car,5.0,17.0,22.0,19.0,3.0,No
LEXUS GS 450h,3.5,6,Auto-S6,2WD,Gasoline,small car,9.0,22.0,25.0,23.0,7,yes,MERCEDES-BENZ AMG C63 S,4.0,8.0,Auto-7,2WD,Gasoline,small car,5.0,17.0,23.0,19.0,3.0,No
LEXUS GS 460,4.6,8,S8,2WD,Gasoline,midsize car,7.0,17.0,24.0,20.0,6,yes,MERCEDES-BENZ AMG C63 S,4.0,8.0,Auto-7,2WD,Gasoline,small car,5.0,18.0,24.0,20.0,4.0,No
LEXUS GX 470,4.7,8,Auto-L5,4WD,Gasoline,SUV,7.0,14.0,18.0,15.0,3,no,MERCEDES-BENZ AMG CLA45 4Matic,2.0,4.0,AutoMan-7,4WD,Gasoline,small car,3.0,23.0,30.0,26.0,5.0,No
LEXUS IS 250,2.5,6,Man-6,2WD,Gasoline,small car,7.0,18.0,26.0,21.0,6,yes,MERCEDES-BENZ AMG CLS63 4Matic,5.5,8.0,Auto-7,4WD,Gasoline,small car,3.0,16.0,22.0,18.0,3.0,No
LEXUS IS 250,2.5,6,Auto-S6,4WD,Gasoline,small car,7.0,20.0,26.0,22.0,6,yes,MERCEDES-BENZ AMG E63 S 4Matic,4.0,8.0,Auto-9,4WD,Gasoline,midsize car,5.0,15.0,22.0,18.0,3.0,No
LEXUS IS 250,2.5,6,Auto-S6,2WD,Gasoline,small car,7.0,21.0,29.0,24.0,7,yes,MERCEDES-BENZ AMG E63 S 4Matic,4.0,8.0,Auto-9,4WD,Gasoline,station wagon,5.0,16.0,22.0,18.0,3.0,No
LEXUS IS 350,3.5,6,Auto-S6,2WD,Gasoline,small car,7.0,18.0,25.0,20.0,6,yes,MERCEDES-BENZ AMG GLA45 4Matic,2.0,4.0,AutoMan-7,4WD,Gasoline,station wagon,3.0,22.0,28.0,25.0,5.0,No
LEXUS LS 460,4.6,8,S8,2WD,Gasoline,midsize car,7.0,16.0,24.0,19.0,5,no,MERCEDES-BENZ AMG GLE 43 4Matic,3.0,6.0,Auto-9,4WD,Gasoline,standard SUV,3.0,17.0,22.0,19.0,3.0,No
LEXUS LS 460 L,4.6,8,S8,2WD,Gasoline,midsize car,7.0,16.0,24.0,19.0,5,no,MERCEDES-BENZ AMG GLE 43 4Matic,3.0,6.0,Auto-9,4WD,Gasoline,standard SUV,3.0,17.0,23.0,19.0,3.0,No
LEXUS LS 600HL,5.0,8,S8,4WD,Gasoline,midsize car,9.0,20.0,22.0,21.0,6,yes,MERCEDES-BENZ AMG GLE63,5.5,8.0,Auto-7,4WD,Gasoline,standard SUV,3.0,14.0,18.0,15.0,2.0,No
LEXUS LX 570,5.7,8,Auto-S6,4WD,Gasoline,SUV,7.0,12.0,18.0,14.0,2,no,MERCEDES-BENZ AMG GLE63 S,5.5,8.0,Auto-7,4WD,Gasoline,standard SUV,3.0,14.0,18.0,15.0,2.0,No
LEXUS RX 350,3.5,6,Auto-L5,2WD,Gasoline,SUV,7.0,18.0,23.0,20.0,6,yes,MERCEDES-BENZ AMG GLS63,5.5,8.0,Auto-7,4WD,Gasoline,standard SUV,3.0,13.0,18.0,15.0,2.0,No
LEXUS RX 350,3.5,6,Auto-S5,2WD,Gasoline,SUV,7.0,18.0,23.0,20.0,6,yes,MERCEDES-BENZ AMG GT,4.0,8.0,AutoMan-7,2WD,Gasoline,small car,5.0,16.0,21.0,18.0,3.0,No
LEXUS RX 350,3.5,6,Auto-L5,4WD,Gasoline,SUV,7.0,17.0,22.0,19.0,5,no,MERCEDES-BENZ AMG GT,4.0,8.0,AutoMan-7,2WD,Gasoline,small car,5.0,16.0,22.0,18.0,3.0,No
LEXUS RX 350,3.5,6,Auto-S5,4WD,Gasoline,SUV,7.0,17.0,22.0,19.0,5,no,MERCEDES-BENZ AMG GT S,4.0,8.0,AutoMan-7,2WD,Gasoline,small car,5.0,16.0,22.0,18.0,3.0,No
LEXUS RX 400H,3.3,6,Auto-AV,2WD,Gasoline,SUV,9.0,27.0,24.0,25.0,7,yes,MERCEDES-BENZ AMG S63 4Matic,4.0,8.0,Auto-9,4WD,Gasoline,large car,5.0,17.0,26.0,20.0,4.0,No
LEXUS RX 400H,3.3,6,Auto-AV,4WD,Gasoline,SUV,9.0,26.0,24.0,25.0,7,yes,MERCEDES-BENZ AMG SL63,5.5,8.0,Auto-7,2WD,Gasoline,small car,3.0,16.0,25.0,19.0,3.0,No
LEXUS SC 430,4.3,8,Auto-S6,2WD,Gasoline,small car,6.0,16.0,23.0,19.0,5,no,MERCEDES-BENZ AMG SL65,6.0,12.0,Auto-7,2WD,Gasoline,small car,3.0,13.0,22.0,16.0,2.0,No
LINCOLN MKX,3.5,6,Auto-L6,2WD,Gasoline,SUV,7.0,16.0,24.0,19.0,5,no,MERCEDES-BENZ C300,2.0,4.0,Auto-9,2WD,Gasoline,small car,5.0,22.0,29.0,25.0,5.0,No
LINCOLN MKX,3.5,6,Auto-L6,4WD,Gasoline,SUV,7.0,15.0,22.0,18.0,5,no,MERCEDES-BENZ C300,2.0,4.0,Auto-9,2WD,Gasoline,small car,5.0,22.0,30.0,25.0,5.0,No
LINCOLN MKZ,3.5,6,Auto-L6,4WD,Gasoline,midsize car,7.0,17.0,24.0,19.0,5,no,MERCEDES-BENZ C300,2.0,4.0,Auto-9,2WD,Gasoline,small car,5.0,24.0,33.0,27.0,6.0,No
LINCOLN MKZ,3.5,6,Auto-L6,2WD,Gasoline,midsize car,7.0,18.0,28.0,22.0,6,yes,MERCEDES-BENZ C300 4Matic,2.0,4.0,Auto-9,4WD,Gasoline,small car,5.0,22.0,29.0,25.0,5.0,No
LINCOLN Mark LT,5.4,8,Auto-L4,2WD,Gasoline,pickup,7.0,12.0,16.0,14.0,2,no,MERCEDES-BENZ C300 4Matic,2.0,4.0,Auto-9,4WD,Gasoline,small car,5.0,22.0,30.0,25.0,5.0,No
LINCOLN Mark LT,5.4,8,Auto-L4,4WD,Gasoline,pickup,7.0,13.0,17.0,14.0,2,no,MERCEDES-BENZ C300 4Matic,2.0,4.0,Auto-9,4WD,Gasoline,small car,5.0,23.0,32.0,26.0,5.0,No
LINCOLN Navigator,5.4,8,Auto-L6,2WD,Gasoline,SUV,7.0,12.0,18.0,14.0,2,no,MERCEDES-BENZ CLA250,2.0,4.0,AutoMan-7,2WD,Gasoline,small car,5.0,24.0,37.0,29.0,6.0,No
LOTUS Elise,1.8,4,Man-6,2WD,Gasoline,small car,6.0,20.0,26.0,22.0,6,no,MERCEDES-BENZ CLA250 4Matic,2.0,4.0,AutoMan-7,4WD,Gasoline,small car,5.0,24.0,32.0,27.0,6.0,No
LOTUS Elise,1.8,4,Man-6,2WD,Gasoline,small car,6.0,21.0,27.0,23.0,7,no,MERCEDES-BENZ CLS550,4.7,8.0,Auto-9,2WD,Gasoline,small car,3.0,18.0,26.0,21.0,4.0,No
LOTUS Exige,1.8,4,Man-6,2WD,Gasoline,small car,6.0,20.0,26.0,22.0,6,no,MERCEDES-BENZ CLS550 4Matic,4.7,8.0,Auto-9,4WD,Gasoline,small car,3.0,17.0,25.0,20.0,4.0,No
LOTUS Exige,1.8,4,Man-6,2WD,Gasoline,small car,6.0,21.0,27.0,23.0,7,no,MERCEDES-BENZ E300,2.0,4.0,Auto-9,2WD,Gasoline,midsize car,5.0,22.0,30.0,25.0,5.0,No
MASERATI Granturismo,4.2,8,Auto-6,2WD,Gasoline,small car,6.0,14.0,21.0,17.0,4,no,MERCEDES-BENZ E300 4Matic,2.0,4.0,Auto-9,4WD,Gasoline,midsize car,5.0,21.0,29.0,24.0,5.0,No
MASERATI Quattroporte,4.2,8,Auto-6,2WD,Gasoline,large car,6.0,13.0,19.0,15.0,3,no,MERCEDES-BENZ GLA 250,2.0,4.0,AutoMan-7,2WD,Gasoline,station wagon,5.0,24.0,33.0,27.0,6.0,No
MAZDA 3,2.0,4,Auto-S4,2WD,Gasoline,small car,9.5,23.0,31.0,26.0,8,yes,MERCEDES-BENZ GLA250 4Matic,2.0,4.0,AutoMan-7,4WD,Gasoline,small SUV,5.0,23.0,31.0,26.0,5.0,No
MAZDA 3,2.0,4,Man-5,2WD,Gasoline,small car,9.5,24.0,32.0,27.0,8,yes,MERCEDES-BENZ GLC 300,2.0,4.0,Auto-9,2WD,Gasoline,small SUV,5.0,22.0,28.0,24.0,5.0,No
MAZDA 3,2.3,4,Auto-S5,2WD,Gasoline,small car,9.5,22.0,29.0,24.0,7,yes,MERCEDES-BENZ GLC 300 4Matic,2.0,4.0,Auto-9,4WD,Gasoline,small SUV,5.0,21.0,28.0,24.0,5.0,No
MAZDA 3,2.3,4,Man-5,2WD,Gasoline,small car,9.5,22.0,29.0,25.0,7,yes,MERCEDES-BENZ GLC 300 4Matic,2.0,4.0,Auto-9,4WD,Gasoline,small SUV,5.0,22.0,27.0,24.0,5.0,No
MAZDA 3,2.3,4,Man-6,2WD,Gasoline,midsize car,7.0,18.0,26.0,20.0,6,yes,MERCEDES-BENZ GLE350,3.5,6.0,Auto-7,2WD,Gasoline,standard SUV,3.0,18.0,23.0,20.0,4.0,No
MAZDA 5,2.3,4,Auto-S5,2WD,Gasoline,minivan,6.0,21.0,27.0,23.0,7,yes,MERCEDES-BENZ GLE350 4Matic,3.5,6.0,Auto-7,4WD,Gasoline,standard SUV,3.0,18.0,22.0,19.0,3.0,No
MAZDA 5,2.3,4,Man-5,2WD,Gasoline,minivan,6.0,22.0,28.0,24.0,7,yes,MERCEDES-BENZ GLS450 4Matic,3.0,6.0,Auto-9,4WD,Gasoline,standard SUV,3.0,17.0,22.0,19.0,3.0,No
MAZDA 6,2.3,4,Auto-S5,2WD,Gasoline,midsize car,9.5,21.0,28.0,24.0,7,yes,MERCEDES-BENZ GLS550 4Matic,4.7,8.0,Auto-9,4WD,Gasoline,standard SUV,3.0,14.0,19.0,16.0,2.0,No
MAZDA 6,3.0,6,Man-5,2WD,Gasoline,midsize car,7.0,17.0,25.0,20.0,6,yes,MERCEDES-BENZ S560 4Matic,4.0,8.0,Auto-9,4WD,Gasoline,large car,5.0,17.0,27.0,21.0,4.0,No
MAZDA 6,3.0,6,Auto-S6,2WD,Gasoline,midsize car,7.0,18.0,25.0,20.0,6,yes,MERCEDES-BENZ S560 4Matic Maybach,4.0,8.0,Auto-9,4WD,Gasoline,large car,5.0,16.0,25.0,19.0,3.0,No
MAZDA 6,2.3,4,Auto-S5,2WD,Gasoline,midsize car,6.0,21.0,28.0,24.0,7,yes,MERCEDES-BENZ SL550,4.7,8.0,Auto-9,2WD,Gasoline,small car,3.0,17.0,25.0,20.0,4.0,No
MAZDA 6,2.3,4,Man-5,2WD,Gasoline,midsize car,6.0,21.0,29.0,24.0,7,yes,MERCEDES-BENZ SLC300,2.0,4.0,Auto-9,2WD,Gasoline,small car,3.0,25.0,32.0,27.0,6.0,No
MAZDA B2300,2.3,4,Auto-L5,2WD,Gasoline,pickup,7.0,19.0,24.0,21.0,6,yes,MINI Cooper Clubman,1.5,3.0,Man-6,2WD,Gasoline,midsize car,7.0,24.0,34.0,28.0,6.0,No
MAZDA B2300,2.3,4,Man-5,2WD,Gasoline,pickup,7.0,21.0,26.0,23.0,7,yes,MINI Cooper Clubman,1.5,3.0,SemiAuto-6,2WD,Gasoline,midsize car,7.0,24.0,32.0,27.0,6.0,No
MAZDA B3000,3.0,6,Auto-L5,2WD,Gasoline,pickup,7.0,15.0,20.0,17.0,4,no,MINI Cooper Clubman All4,1.5,3.0,Man-6,4WD,Gasoline,midsize car,3.0,22.0,32.0,26.0,5.0,No
MAZDA B4000,4.0,6,Auto-L5,2WD,Gasoline,pickup,6.0,15.0,20.0,17.0,4,no,MINI Cooper Clubman All4,1.5,3.0,SemiAuto-8,4WD,Gasoline,midsize car,3.0,23.0,31.0,26.0,5.0,No
MAZDA B4000,4.0,6,Auto-L5,4WD,Gasoline,pickup,6.0,14.0,17.0,15.0,3,no,MINI Cooper Convertible,1.5,3.0,Man-6,2WD,Gasoline,small car,7.0,28.0,37.0,32.0,7.0,Yes
MAZDA B4000,4.0,6,Man-5,4WD,Gasoline,pickup,6.0,15.0,19.0,16.0,4,no,MINI Cooper Convertible,1.5,3.0,SemiAuto-6,2WD,Gasoline,small car,7.0,27.0,35.0,30.0,7.0,Yes
MAZDA CX-7,2.3,4,Auto-S6,2WD,Gasoline,SUV,6.0,17.0,23.0,19.0,5,no,MINI Cooper Countryman,1.5,3.0,Man-6,2WD,Gasoline,midsize car,3.0,24.0,34.0,28.0,6.0,No
MAZDA CX-7,2.3,4,Auto-S6,4WD,Gasoline,SUV,6.0,16.0,22.0,18.0,5,no,MINI Cooper Countryman,1.5,3.0,SemiAuto-6,2WD,Gasoline,midsize car,3.0,24.0,32.0,27.0,6.0,No
MAZDA CX-9,3.7,6,Auto-S6,2WD,Gasoline,SUV,7.0,16.0,22.0,18.0,5,no,MINI Cooper Countryman All4,1.5,3.0,Man-6,4WD,Gasoline,midsize car,3.0,22.0,32.0,26.0,5.0,No
MAZDA CX-9,3.7,6,Auto-S6,4WD,Gasoline,SUV,7.0,15.0,21.0,17.0,4,no,MINI Cooper Countryman All4,1.5,3.0,SemiAuto-8,4WD,Gasoline,midsize car,3.0,23.0,30.0,25.0,5.0,No
MAZDA MX-5,2.0,4,Auto-S6,2WD,Gasoline,small car,7.0,20.0,27.0,23.0,7,yes,MINI Cooper Hardtop,1.5,3.0,Man-6,2WD,Gasoline,small car,7.0,28.0,37.0,32.0,7.0,Yes
MAZDA MX-5,2.0,4,Man-6,2WD,Gasoline,small car,7.0,21.0,28.0,24.0,7,yes,MINI Cooper Hardtop,1.5,3.0,Man-6,2WD,Gasoline,small car,7.0,28.0,38.0,32.0,7.0,Yes
MAZDA MX-5,2.0,4,Man-5,2WD,Gasoline,small car,7.0,22.0,27.0,24.0,7,yes,MINI Cooper Hardtop,1.5,3.0,SemiAuto-6,2WD,Gasoline,small car,7.0,27.0,35.0,30.0,7.0,Yes
MAZDA RX-8,1.3,2,Man-6,2WD,Gasoline,small car,6.0,16.0,22.0,18.0,5,no,MINI Cooper S Clubman,2.0,4.0,Man-6,2WD,Gasoline,midsize car,7.0,22.0,31.0,25.0,5.0,No
MAZDA RX-8,1.3,2,Auto-S6,2WD,Gasoline,small car,6.0,16.0,23.0,19.0,5,no,MINI Cooper S Clubman,2.0,4.0,SemiAuto-8,2WD,Gasoline,midsize car,7.0,23.0,32.0,27.0,6.0,No
MAZDA Tribute,2.3,4,Man-5,2WD,Gasoline,SUV,7.0,22.0,28.0,24.0,7,yes,MINI Cooper S Clubman All4,2.0,4.0,Man-6,4WD,Gasoline,midsize car,7.0,21.0,30.0,24.0,5.0,No
MAZDA Tribute,2.3,4,Auto-L4,2WD,Gasoline,SUV,6.0,20.0,26.0,22.0,6,no,MINI Cooper S Clubman All4,2.0,4.0,SemiAuto-8,4WD,Gasoline,midsize car,7.0,22.0,31.0,26.0,5.0,No
MAZDA Tribute,2.3,4,Auto-L4,4WD,Gasoline,SUV,6.0,19.0,24.0,21.0,6,no,MINI Cooper S Convertible,2.0,4.0,Man-6,2WD,Gasoline,small car,7.0,23.0,32.0,26.0,5.0,No
MAZDA Tribute,3.0,6,Auto-L4,2WD,Gasoline,SUV,6.0,18.0,24.0,20.0,6,no,MINI Cooper S Convertible,2.0,4.0,SemiAuto-6,2WD,Gasoline,small car,7.0,25.0,33.0,28.0,6.0,No
MAZDA Tribute,3.0,6,Auto-L4,4WD,Gasoline,SUV,6.0,17.0,22.0,19.0,5,no,MINI Cooper S Countryman,2.0,4.0,SemiAuto-8,2WD,Gasoline,midsize car,7.0,23.0,32.0,27.0,6.0,No
MAZDA Tribute Hybrid,2.3,4,Auto-AV,2WD,Gasoline,SUV,9.5,34.0,30.0,32.0,9,yes,MINI Cooper S Countryman All4,2.0,4.0,Man-6,4WD,Gasoline,midsize car,7.0,21.0,31.0,24.0,5.0,No
MAZDA Tribute Hybrid,2.3,4,Auto-AV,4WD,Gasoline,SUV,9.5,29.0,27.0,28.0,8,yes,MINI Cooper S Countryman All4,2.0,4.0,SemiAuto-8,4WD,Gasoline,midsize car,7.0,22.0,31.0,26.0,5.0,No
MERCEDES-BENZ CL550,5.5,8,Auto-L7,2WD,Gasoline,small car,7.0,14.0,21.0,17.0,4,no,MINI Cooper S Hardtop,2.0,4.0,Man-6,2WD,Gasoline,small car,7.0,23.0,32.0,26.0,5.0,No
MERCEDES-BENZ CL600,5.5,12,Auto-L5,2WD,Gasoline,small car,6.0,11.0,17.0,13.0,1,no,MINI Cooper S Hardtop,2.0,4.0,SemiAuto-6,2WD,Gasoline,small car,7.0,25.0,32.0,28.0,6.0,No
MERCEDES-BENZ CL63 AMG,6.2,8,Auto-S7,2WD,Gasoline,small car,6.0,11.0,18.0,14.0,2,no,MINI JCW Countryman All4,2.0,4.0,Man-6,4WD,Gasoline,midsize car,3.0,20.0,29.0,24.0,5.0,No
MERCEDES-BENZ CL65 AMG,5.5,12,Auto-S5,2WD,Gasoline,small car,6.0,11.0,17.0,13.0,1,no,MINI JCW Countryman All4,2.0,4.0,SemiAuto-8,4WD,Gasoline,midsize car,3.0,22.0,30.0,25.0,5.0,No
MERCEDES-BENZ CLK63 AMG,6.2,8,Auto-S7,2WD,Gasoline,small car,6.0,12.0,19.0,14.0,2,no,MINI John Cooper Works Clubman All4,2.0,4.0,Man-6,4WD,Gasoline,midsize car,3.0,21.0,31.0,24.0,5.0,No
MERCEDES-BENZ CLK63 AMG Cabriolet,6.2,8,Auto-S7,2WD,Gasoline,small car,6.0,12.0,18.0,14.0,2,no,MINI John Cooper Works Clubman All4,2.0,4.0,SemiAuto-8,4WD,Gasoline,midsize car,3.0,23.0,31.0,26.0,5.0,No
MERCEDES-BENZ CLS63 AMG,6.2,8,Auto-S7,2WD,Gasoline,small car,6.0,12.0,18.0,14.0,2,no,MINI John Cooper Works Convertible,2.0,4.0,Man-6,2WD,Gasoline,small car,3.0,22.0,31.0,25.0,5.0,No
MERCEDES-BENZ E350,3.5,6,Auto-L7,2WD,Gasoline,midsize car,9.5,17.0,24.0,19.0,5,no,MINI John Cooper Works Convertible,2.0,4.0,SemiAuto-6,2WD,Gasoline,small car,3.0,25.0,33.0,28.0,6.0,No
MERCEDES-BENZ E550 4Matic,5.5,8,Auto-L7,4WD,Gasoline,midsize car,7.0,13.0,19.0,16.0,4,no,MINI John Cooper Works Hardtop,2.0,4.0,Man-6,2WD,Gasoline,small car,3.0,23.0,32.0,26.0,5.0,No
MERCEDES-BENZ E63 AMG,6.2,8,Auto-S7,2WD,Gasoline,midsize car,6.0,12.0,19.0,15.0,3,no,MINI John Cooper Works Hardtop,2.0,4.0,SemiAuto-6,2WD,Gasoline,small car,3.0,25.0,32.0,28.0,6.0,No
MERCEDES-BENZ E63 AMG Wagon,6.2,8,Auto-S7,2WD,Gasoline,station wagon,6.0,12.0,18.0,14.0,2,no,MITSUBISHI Mirage,1.2,3.0,CVT,2WD,Gasoline,small car,5.0,37.0,43.0,39.0,9.0,Yes
MERCEDES-BENZ G500,5.0,8,Auto-L7,4WD,Gasoline,SUV,6.0,12.0,15.0,13.0,1,no,MITSUBISHI Mirage,1.2,3.0,Man-5,2WD,Gasoline,small car,5.0,33.0,41.0,36.0,8.0,Yes
MERCEDES-BENZ G55 AMG,5.4,8,Auto-L5,4WD,Gasoline,SUV,6.0,11.0,13.0,12.0,0,no,MITSUBISHI Mirage G4,1.2,3.0,CVT,2WD,Gasoline,small car,5.0,35.0,41.0,37.0,8.0,Yes
MERCEDES-BENZ GL450 4Matic,4.6,8,Auto-L7,4WD,Gasoline,SUV,7.0,13.0,18.0,15.0,3,no,MITSUBISHI Mirage G4,1.2,3.0,Man-5,2WD,Gasoline,small car,5.0,33.0,40.0,35.0,8.0,Yes
MERCEDES-BENZ GL550 4Matic,5.5,8,Auto-L7,4WD,Gasoline,SUV,7.0,13.0,17.0,14.0,2,no,NISSAN 370Z,3.7,6.0,Man-6,2WD,Gasoline,small car,3.0,18.0,26.0,21.0,4.0,No
MERCEDES-BENZ ML350 4Matic,3.5,6,Auto-L7,4WD,Gasoline,SUV,7.0,15.0,20.0,17.0,4,no,NISSAN 370Z,3.7,6.0,SemiAuto-7,2WD,Gasoline,small car,3.0,19.0,26.0,22.0,4.0,No
MERCEDES-BENZ ML550 4Matic,5.5,8,Auto-L7,4WD,Gasoline,SUV,7.0,13.0,18.0,15.0,3,no,NISSAN 370Z Roadster,3.7,6.0,Man-6,2WD,Gasoline,small car,3.0,17.0,24.0,20.0,4.0,No
MERCEDES-BENZ Maybach 57,5.5,12,Auto-L5,2WD,Gasoline,large car,6.0,10.0,16.0,12.0,0,no,NISSAN 370Z Roadster,3.7,6.0,SemiAuto-7,2WD,Gasoline,small car,3.0,18.0,25.0,21.0,4.0,No
MERCEDES-BENZ Maybach 57S,6.0,12,Auto-L5,2WD,Gasoline,large car,6.0,10.0,16.0,12.0,0,no,NISSAN Armada,5.6,8.0,SemiAuto-7,2WD,Gasoline,standard SUV,3.0,14.0,19.0,16.0,2.0,No
MERCEDES-BENZ Maybach 62,5.5,12,Auto-L5,2WD,Gasoline,large car,6.0,10.0,16.0,12.0,0,no,NISSAN Armada,5.6,8.0,SemiAuto-7,4WD,Gasoline,standard SUV,3.0,13.0,18.0,15.0,2.0,No
MERCEDES-BENZ Maybach 62S,6.0,12,Auto-L5,2WD,Gasoline,large car,6.0,10.0,16.0,12.0,0,no,NISSAN Versa,1.6,4.0,Auto-4,2WD,Gasoline,small car,3.0,26.0,35.0,29.0,6.0,No
MERCEDES-BENZ R350,3.5,6,Auto-L7,2WD,Gasoline,SUV,7.0,15.0,20.0,17.0,4,no,NISSAN Versa,1.6,4.0,CVT,2WD,Gasoline,small car,3.0,31.0,39.0,34.0,8.0,Yes
MERCEDES-BENZ R350 4Matic,3.5,6,Auto-L7,4WD,Gasoline,SUV,7.0,15.0,19.0,16.0,4,no,NISSAN Versa,1.6,4.0,CVT,2WD,Gasoline,small car,5.0,31.0,39.0,34.0,8.0,Yes
MERCEDES-BENZ S550,5.5,8,Auto-L7,2WD,Gasoline,large car,7.0,14.0,21.0,16.0,4,no,NISSAN Versa,1.6,4.0,Man-5,2WD,Gasoline,small car,3.0,27.0,36.0,30.0,7.0,Yes
MERCEDES-BENZ S550 4Matic,5.5,8,Auto-L7,4WD,Gasoline,large car,7.0,14.0,20.0,16.0,4,no,NISSAN Versa,1.6,4.0,Man-5,2WD,Gasoline,small car,5.0,27.0,36.0,30.0,7.0,Yes
MERCEDES-BENZ S600,5.5,12,Auto-L5,2WD,Gasoline,large car,6.0,11.0,17.0,13.0,1,no,PORSCHE 911 Carrera,3.0,6.0,AMS-7,2WD,Gasoline,small car,1.0,22.0,30.0,25.0,5.0,No
MERCEDES-BENZ S63 AMG,6.2,8,Auto-S7,2WD,Gasoline,large car,6.0,11.0,17.0,13.0,1,no,PORSCHE 911 Carrera,3.0,6.0,Man-7,2WD,Gasoline,small car,1.0,20.0,29.0,23.0,5.0,No
MERCEDES-BENZ S65 AMG,6.0,12,Auto-S5,2WD,Gasoline,large car,6.0,11.0,17.0,13.0,1,no,PORSCHE 911 Carrera 4,3.0,6.0,AMS-7,4WD,Gasoline,small car,1.0,22.0,28.0,24.0,5.0,No
MERCEDES-BENZ SL55 AMG,5.4,8,Auto-S5,2WD,Gasoline,small car,6.0,12.0,17.0,14.0,2,no,PORSCHE 911 Carrera 4,3.0,6.0,Man-7,4WD,Gasoline,small car,1.0,20.0,28.0,23.0,5.0,No
